nb_resto, time_greedy, time_progdyn, time_local, capacity
0 2400 2000 4300 0
0 1600 500 1100 0
100 24900 3800 3106400 0
100 20500 2400 2781000 0
100 20100 2400 2971300 0
100 20100 2500 3004000 0
100 20100 2500 2961600 0
100 28600 3300 3034000 0
100 20200 2400 2977800 0
100 20400 2400 3004800 0
100 20300 2400 2976900 0
100 19900 2300 2973500 0
100 20000 2400 3014000 0
100 20100 2400 2988000 0
100 20200 2400 2978100 0
100 23100 2400 2992700 0
100 20200 2400 3001000 0
100 20000 2400 2989900 0
100 20000 2300 2989300 0
100 20100 2400 2975800 0
100 20700 2400 2988900 0
100 20000 2400 2963100 0
100 20300 2400 2974700 0
100 20000 2400 2908600 0
100 20200 2400 2944800 0
100 19900 2300 2984300 0
100 20200 2300 2966900 0
100 20300 2400 2968600 0
100 20300 2400 2949800 0
100 20100 2300 2977400 0
100 20000 2400 2981500 0
100 20100 2400 2981100 0
1000 175600 19600 301049900 0
1000 3701400 19600 295498000 0
1000 193200 19800 294888300 0
1000 178100 19700 298829500 0
1000 178200 19800 294059900 0
1000 178100 19700 307155800 0
1000 186700 20000 296193000 0
1000 183000 19900 294854800 0
1000 177600 20100 297122600 0
1000 179000 19800 297110700 0
1000 178400 19700 292887900 0
1000 183700 19700 291038700 0
1000 184500 18700 295770800 0
1000 176800 19500 294485800 0
1000 176700 19600 294858600 0
1000 174600 19500 300649200 0
1000 177900 18700 296448400 0
1000 178300 20100 294531000 0
1000 178500 19700 298352300 0
1000 176100 19600 297214300 0
1000 181300 19800 296176700 0
1000 177800 20300 298416200 0
1000 182800 19900 301669600 0
1000 179300 19800 293512500 0
1000 226200 18700 296491600 0
1000 178200 19800 301405600 0
1000 176100 19700 299577200 0
1000 272100 29500 316762400 0
1000 179900 20000 314775400 0
1000 183800 19800 297509800 0
10000 2031200 211400 0 0
10000 1898800 189700 0 0
10000 1859300 179700 0 0
10000 1771000 184500 0 0
10000 1871800 186100 0 0
10000 1846600 185100 0 0
10000 1899500 183300 0 0
10000 1840300 192200 0 0
10000 1876100 186400 0 0
10000 1913300 180700 0 0
10000 1855600 197500 0 0
10000 1856300 187900 0 0
10000 1837600 193900 0 0
10000 1830900 192000 0 0
10000 1847200 191100 0 0
10000 1839700 180300 0 0
10000 1885400 188600 0 0
10000 1845700 193000 0 0
10000 1858100 192000 0 0
10000 1869800 186500 0 0
10000 1851500 186100 0 0
10000 1850100 180100 0 0
10000 1849100 192700 0 0
10000 1860500 185900 0 0
10000 1864600 191100 0 0
10000 1860100 191700 0 0
10000 1863300 191600 0 0
10000 1856300 192200 0 0
10000 1767600 184800 0 0
10000 1862900 184000 0 0
